word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
bóg;U;4.577;2.154;2.577;3.154;1.846;4.832;7.636;7.367;6.873;7.940;5.663;4.832;H;;
ból;U;1.519;3.963;4.630;4.630;3.556;9.133;7.568;6.918;6.953;7.888;6.985;6.918;S;;
braæ;U;3.154;2.308;2.115;2.000;2.154;5.109;6.308;6.512;6.587;6.427;4.156;4.156;N;;
brak;U;1.259;4.111;4.704;4.370;1.963;8.799;6.747;6.236;6.538;8.445;6.404;6.236;S;;
brakowaæ;U;1.111;4.296;5.407;5.259;2.630;9.722;7.512;6.639;6.763;8.843;7.530;6.639;S;;
brat;U;4.593;2.481;2.037;1.704;1.370;3.958;6.952;7.326;7.604;7.806;4.846;3.958;H;;
br¹z;U;3.037;1.778;1.556;1.333;1.333;4.636;6.216;6.379;6.626;6.622;2.751;2.751;N;;
brodawka;D;1.808;2.231;2.115;2.423;3.846;7.036;7.042;7.166;6.882;5.194;4.663;4.663;N;;
broniæ;U;4.000;2.444;2.296;2.852;1.370;4.838;6.675;6.812;6.265;7.642;4.909;4.838;H;;
broñ;F;1.500;2.731;2.038;3.923;2.654;7.353;6.473;7.057;5.172;6.531;4.639;4.639;N;;
brud;U;1.500;3.885;3.077;2.846;4.962;8.698;6.983;7.711;7.854;5.718;6.287;5.718;D;;
brudny;D;1.538;2.692;2.385;2.385;4.269;7.440;6.663;6.924;6.860;4.919;4.702;4.702;N;;
brutalny;U;1.346;4.038;2.846;4.346;3.192;8.434;6.377;7.478;6.056;7.100;5.937;5.937;N;;
brygada;U;3.115;1.962;2.077;2.269;1.346;4.973;6.586;6.514;6.314;7.055;3.666;3.666;N;;
brylantowy;U;4.769;1.231;1.385;1.731;1.192;2.897;7.303;7.151;6.860;7.326;4.168;2.897;H;;
brytyjski;U;4.111;1.519;1.593;1.667;1.519;3.718;6.975;6.910;6.857;6.987;3.861;3.718;H;;
brzmieæ;N;2.808;1.654;1.577;1.423;1.077;4.804;6.197;6.311;6.453;6.712;2.338;2.338;N;;
brzoza;U;3.462;1.500;1.923;1.154;1.231;4.246;6.546;6.225;6.916;6.854;3.165;3.165;N;;
budda;U;3.185;1.630;1.407;1.370;1.222;4.330;6.449;6.811;6.822;6.976;3.021;3.021;N;;
budowaæ;U;4.346;1.308;1.500;2.115;1.154;3.562;7.126;6.915;6.394;7.247;3.949;3.562;H;;
budziæ;U;2.852;2.630;2.185;1.889;1.630;5.405;6.070;6.543;6.708;6.963;3.944;3.944;N;;
budzik;A;1.885;4.423;2.808;1.962;2.654;7.383;5.005;6.732;7.445;6.969;5.210;5.005;A;;
buk;U;3.037;1.519;1.333;1.370;1.370;4.399;6.398;6.565;6.545;6.552;2.601;2.601;N;;
bukiet;U;5.000;1.462;1.615;1.231;1.115;2.607;7.211;7.086;7.381;7.476;4.354;2.607;H;;
bumerang;N;2.923;1.346;1.192;1.538;1.269;4.355;6.359;6.507;6.167;6.427;2.428;2.428;N;;
bunkier;U;2.346;2.423;2.923;3.731;2.808;6.894;7.498;7.023;6.151;7.203;5.494;5.494;N;;
bunt;U;1.808;4.423;3.038;3.308;2.462;7.993;5.874;7.256;6.985;7.628;5.620;5.620;N;;
buntownik;A;2.615;3.731;1.923;2.885;1.885;6.488;5.319;7.177;6.292;7.179;4.824;4.824;N;;
bura;U;1.667;2.519;2.519;1.963;2.111;6.579;5.845;5.958;6.459;6.247;3.419;3.419;N;;
burzowy;F;2.556;2.222;2.111;3.444;1.630;6.237;6.696;6.822;5.409;7.267;4.323;4.323;N;;
but;N;2.815;1.370;1.444;1.407;1.519;4.632;6.478;6.406;6.423;6.289;2.447;2.447;N;;
butelka;U;2.731;1.769;1.692;1.846;1.654;5.093;6.519;6.595;6.427;6.562;2.945;2.945;N;;
byczy;U;3.000;2.000;1.538;2.308;1.846;4.977;6.413;6.879;6.112;6.622;3.682;3.682;N;;
byk;F;2.269;2.769;1.577;4.077;2.154;6.699;6.422;7.457;4.818;6.959;4.794;4.794;N;;
bystry;U;4.769;1.462;1.192;1.654;1.154;2.953;7.167;7.382;7.040;7.409;4.199;2.953;H;;
byt;U;2.962;1.692;1.962;2.346;1.731;5.385;6.888;6.632;6.167;6.810;3.387;3.387;N;;
bzdura;A;1.556;3.815;1.889;2.111;2.556;7.194;4.797;6.998;6.856;6.273;4.411;4.411;N;;
ca³owaæ;H;5.846;1.115;1.308;1.308;1.192;1.557;7.781;7.628;7.635;7.713;5.018;1.557;H;;
cebulowy;N;1.963;1.667;1.630;1.370;2.037;5.703;6.210;6.250;6.419;5.758;2.312;2.312;N;;
cecha;U;2.500;2.077;1.538;1.769;1.538;5.417;6.031;6.531;6.329;6.532;2.650;2.650;N;;
ceglany;N;2.538;1.231;1.462;1.731;1.462;4.974;6.461;6.252;5.952;6.224;2.401;2.401;N;;
cel;U;4.846;1.769;2.000;3.000;1.423;4.020;7.475;7.266;6.449;7.741;5.071;4.020;H;;
cela;U;1.481;2.926;3.370;3.963;2.926;7.942;7.043;6.550;5.967;7.021;5.513;5.513;N;;
celebrowaæ;U;4.385;1.500;1.346;1.385;1.423;3.043;6.963;7.111;7.103;7.028;4.039;3.043;H;;
celebryta;D;2.577;2.654;1.731;1.385;3.231;5.784;5.985;6.917;7.193;5.377;4.114;4.114;N;;
celnik;U;1.423;2.769;2.192;3.346;2.269;7.312;6.431;6.909;5.613;6.820;4.144;4.144;N;;
cena;U;1.808;3.385;2.885;2.577;2.846;7.303;6.202;6.759;6.866;6.774;4.877;4.877;N;;
ceniæ;U;4.346;1.308;1.423;1.654;1.308;3.221;7.025;6.910;6.709;7.008;3.816;3.221;H;;
cenny;U;4.308;1.192;1.308;2.308;1.192;3.508;7.273;7.172;6.102;7.267;4.107;3.508;H;;
centralny;U;2.038;1.885;1.962;2.192;2.231;6.172;6.632;6.586;6.385;6.351;3.029;3.029;N;;
cham;U;1.115;5.231;3.308;3.269;5.000;9.406;6.271;7.873;7.993;6.566;7.180;6.271;A;;
chaotyczny;U;1.923;3.846;2.346;3.115;2.654;7.349;5.846;7.312;6.658;7.047;4.985;4.985;N;;
charakter;U;3.846;2.077;1.423;1.885;1.538;4.034;6.405;6.993;6.591;6.856;3.763;3.763;N;;
chcieæ;U;4.333;1.778;2.037;2.148;1.593;4.030;7.033;6.848;6.730;7.201;4.370;4.030;H;;
chciwoœæ;U;1.154;4.346;3.654;3.115;3.885;8.742;6.096;6.798;7.355;6.520;6.232;6.096;A;;
cherlawy;S;1.308;1.731;2.923;2.654;2.269;6.914;6.594;5.437;5.728;6.104;3.486;3.486;N;;
chichot;U;4.731;1.923;1.538;2.115;1.846;3.457;7.073;7.386;6.903;7.103;4.871;3.457;H;;
chichotaæ;U;5.074;1.963;1.222;1.370;1.444;2.620;6.975;7.670;7.534;7.502;4.892;2.620;H;;
chlaæ;U;2.926;3.296;3.519;3.074;3.815;7.174;7.595;7.396;7.803;7.054;6.562;6.562;N;;
chleb;U;5.077;1.385;1.692;1.500;1.423;2.616;7.624;7.356;7.507;7.596;4.876;2.616;H;;
ch³opak;U;4.185;1.815;1.741;1.852;1.778;4.092;7.165;7.252;7.158;7.103;4.329;4.092;H;;
ch³opiec;U;3.692;1.615;1.923;1.500;1.385;4.183;6.619;6.360;6.728;6.805;3.369;3.369;N;;
ch³opiêcy;U;3.385;1.615;2.154;1.577;1.538;4.589;6.793;6.313;6.830;6.860;3.523;3.523;N;;
chmura;U;3.346;2.154;2.423;2.192;1.769;5.237;7.026;6.779;7.017;7.369;4.196;4.196;N;;
cholerny;A;1.333;3.963;2.037;2.444;2.481;7.469;4.834;6.954;6.572;6.622;4.308;4.308;N;;
chomik;U;3.885;1.269;1.385;1.462;1.923;3.840;7.082;6.958;6.907;6.330;3.823;3.823;N;;
chor¹giew;N;2.889;1.222;1.667;1.593;1.185;4.687;6.637;6.215;6.276;6.660;2.449;2.449;N;;
chory;U;1.192;2.846;3.385;3.038;2.269;7.558;6.176;5.539;5.989;6.621;4.471;4.471;N;;
chroniæ;U;5.000;1.593;1.481;3.185;1.370;3.786;7.623;7.739;6.198;7.830;5.130;3.786;H;;
Chrystus;U;3.692;1.346;1.962;1.731;1.346;4.277;7.048;6.499;6.772;6.939;3.677;3.677;N;;
chrz¹szcz;U;2.462;2.077;1.346;2.538;2.923;5.907;6.669;7.184;6.179;5.798;4.002;4.002;N;;
chrzciæ;U;3.538;1.731;1.538;1.731;2.038;4.430;6.752;6.920;6.774;6.391;3.959;3.959;N;;
