word;category;mean Happiness;mean Anger;mean Sadness;mean Fear;mean Disgust;H;A;S;F;D;N;min distance;category;;emotions
chudn¹æ;U;3.222;2.037;2.556;2.444;1.889;5.282;6.896;6.439;6.524;7.056;4.288;4.288;N;;
chudy;U;3.154;1.923;2.269;2.000;1.769;4.925;6.516;6.175;6.425;6.630;3.620;3.620;N;;
chwaliæ;U;4.481;1.889;1.259;1.630;1.593;3.338;6.747;7.433;7.112;7.081;4.572;3.338;H;;
chwalipiêta;A;1.269;4.269;2.231;1.885;3.231;7.765;4.863;7.128;7.410;6.178;4.821;4.821;N;;
chwast;U;1.154;2.846;1.885;1.731;3.000;7.161;5.672;6.700;6.862;5.561;3.535;3.535;N;;
chwiejny;F;1.538;2.577;2.462;3.346;2.462;7.146;6.258;6.344;5.429;6.340;4.246;4.246;N;;
chwytaæ;U;3.077;1.500;1.346;1.846;1.423;4.790;6.685;6.800;6.345;6.684;2.782;2.782;N;;
cia³o;U;3.885;1.500;1.808;1.808;1.654;4.145;7.037;6.720;6.777;6.886;3.797;3.797;N;;
ciarki;F;2.769;1.962;2.154;4.154;2.269;6.593;7.566;7.465;5.482;7.295;5.001;5.001;N;;
ciastko;H;5.692;1.385;1.538;1.423;1.308;2.345;7.719;7.619;7.702;7.801;5.103;2.345;H;;
ciasto;U;5.231;1.462;1.577;1.500;1.462;2.542;7.595;7.490;7.566;7.593;4.921;2.542;H;;
ci¹gn¹æ;U;2.538;2.000;1.654;1.846;2.154;5.412;6.306;6.675;6.546;6.202;3.264;3.264;N;;
cichy;S;2.538;1.500;2.923;2.269;1.308;5.788;6.807;5.406;6.097;7.015;3.424;3.424;N;;
ciekawy;U;4.769;1.308;1.500;1.808;1.269;3.205;7.388;7.259;6.956;7.420;4.313;3.205;H;;
cienisty;N;1.846;1.308;1.808;1.654;1.269;5.591;6.226;5.673;5.856;6.251;1.917;1.917;N;;
cieñ;F;1.846;1.154;1.846;2.808;1.308;5.942;6.741;6.084;4.912;6.607;2.810;2.810;N;;
ciep³y;H;5.500;1.615;1.423;1.654;1.115;2.281;7.470;7.610;7.446;7.843;4.989;2.281;H;;
cierpieæ;U;1.192;4.115;5.692;5.154;3.231;9.898;7.997;6.652;7.126;8.642;7.848;6.652;S;;
cierpienie;U;1.222;3.815;5.963;5.815;3.074;10.169;8.664;6.790;7.039;9.148;8.308;6.790;S;;
cierpliwy;U;4.346;1.885;1.692;1.654;1.308;3.717;6.825;6.995;7.041;7.277;4.066;3.717;H;;
ciê¿ar;U;1.577;3.308;3.038;3.269;2.115;7.560;6.216;6.515;6.223;7.265;4.857;4.857;N;;
ciê¿arówka;U;2.038;2.000;1.654;2.462;1.615;6.073;6.477;6.777;6.007;6.729;2.896;2.896;N;;
cios;U;1.538;3.846;3.923;4.577;2.385;8.401;6.753;6.705;6.083;7.988;6.235;6.083;F;;
ciotka;U;2.885;2.077;1.962;1.731;1.885;5.228;6.413;6.531;6.723;6.576;3.346;3.346;N;;
ciœnienie;U;1.667;2.259;1.963;2.741;1.963;6.542;6.189;6.532;5.645;6.502;3.294;3.294;N;;
c³o;U;1.538;2.308;1.462;1.846;1.654;6.134;5.356;6.294;5.908;6.067;2.393;2.393;N;;
cmentarz;S;1.222;2.185;4.519;3.778;1.778;8.110;7.542;5.323;6.191;7.839;5.245;5.245;N;;
cnota;U;4.154;1.731;1.769;2.077;1.462;4.115;6.938;6.963;6.706;7.251;4.266;4.115;H;;
codzienny;U;2.692;1.692;1.846;1.462;1.615;5.041;6.309;6.136;6.486;6.321;2.719;2.719;N;;
córka;U;4.538;1.385;1.462;1.962;1.115;3.188;7.177;7.092;6.615;7.397;4.192;3.188;H;;
cuchn¹cy;D;1.296;3.185;2.630;2.444;5.444;8.553;7.288;7.637;7.859;4.583;6.170;4.583;D;;
cud;H;5.654;1.385;1.385;1.885;1.269;2.318;7.804;7.783;7.393;7.873;5.198;2.318;H;;
cudzo³óstwo;U;2.000;4.074;4.074;3.667;3.704;8.448;7.040;7.143;7.451;7.286;6.661;6.661;N;;
cukierek;U;4.962;1.231;1.308;1.923;1.231;2.921;7.488;7.408;6.842;7.452;4.511;2.921;H;;
cwany;U;2.192;3.846;2.423;2.962;3.385;7.127;5.825;7.176;6.752;6.286;5.475;5.475;N;;
cygaro;U;2.185;2.074;1.519;1.556;2.667;5.915;6.411;6.902;6.834;5.636;3.383;3.383;N;;
cylinder;U;3.308;1.385;1.231;1.192;1.654;4.117;6.629;6.723;6.764;6.349;2.956;2.956;N;;
cyniczny;U;1.615;4.385;3.577;3.115;4.077;8.516;6.425;7.184;7.609;6.734;6.473;6.425;A;;
cyrkowy;U;2.923;2.577;1.923;2.385;2.269;5.926;6.573;7.053;6.782;6.762;4.467;4.467;N;;
cytat;U;3.154;1.500;1.731;1.538;1.192;4.658;6.602;6.430;6.526;6.866;2.862;2.862;N;;
cytryna;U;3.815;1.407;1.333;1.296;1.333;3.621;6.656;6.718;6.756;6.698;3.131;3.131;N;;
czapka;U;2.769;2.269;1.385;1.538;1.615;5.107;5.959;6.820;6.712;6.669;3.153;3.153;N;;
czapla;N;3.000;1.444;1.259;1.370;1.296;4.429;6.331;6.498;6.401;6.457;2.354;2.354;N;;
czar;U;5.000;1.370;1.407;1.852;1.296;2.828;7.335;7.318;6.927;7.399;4.460;2.828;H;;
czarnuch;U;1.889;3.778;2.704;2.444;2.481;7.270;5.943;6.934;7.113;7.184;5.172;5.172;N;;
czarny;U;2.000;1.885;2.923;2.500;1.885;6.398;6.997;5.918;6.436;6.973;3.770;3.770;N;;
czarodziej;U;4.333;1.148;1.296;1.852;1.259;3.352;7.204;7.114;6.565;7.100;3.862;3.352;H;;
czarodziejski;U;4.615;1.231;1.423;1.923;1.154;3.062;7.195;7.020;6.568;7.269;4.074;3.062;H;;
czarowaæ;U;3.462;1.654;1.500;1.962;1.731;4.474;6.752;6.954;6.534;6.714;3.691;3.691;N;;
czarownica;U;2.423;2.038;2.308;3.077;2.769;6.378;7.100;6.887;6.092;6.423;4.531;4.531;N;;
czaty;U;2.115;2.038;1.692;2.769;1.500;5.982;6.506;6.770;5.647;6.912;3.379;3.379;N;;
czekaæ;A;1.852;3.889;2.815;2.778;2.037;7.379;5.290;6.594;6.734;7.311;4.798;4.798;N;;
czeluœæ;F;1.769;1.923;3.077;4.077;2.269;7.215;7.314;6.352;5.126;7.035;4.836;4.836;N;;
czepek;U;2.444;1.741;1.296;1.556;2.370;5.436;6.439;6.812;6.580;5.587;3.055;3.055;N;;
czeremcha;U;2.481;1.370;1.778;1.741;1.778;5.340;6.716;6.355;6.374;6.203;2.644;2.644;N;;
czêœæ;N;1.808;1.577;1.615;1.654;1.231;5.721;6.013;5.954;5.930;6.341;1.695;1.695;N;;
cz³onek;U;3.077;1.423;1.500;1.731;2.308;4.778;6.715;6.661;6.431;5.782;3.256;3.256;N;;
cz³owiek;U;4.615;3.538;3.423;3.385;2.962;6.074;7.621;7.749;7.764;8.046;6.654;6.074;H;;
czo³g;U;2.296;2.741;2.852;3.778;2.148;6.920;6.773;6.779;5.778;7.394;5.137;5.137;N;;
czopek;D;1.538;2.538;2.115;3.346;4.423;7.926;7.381;7.707;6.734;5.381;5.361;5.361;N;;
czuæ;U;4.370;2.111;2.444;2.481;1.593;4.628;7.207;6.966;6.920;7.599;4.760;4.628;H;;
czujny;F;2.654;1.885;1.846;3.269;1.385;5.700;6.615;6.655;5.062;7.024;3.772;3.772;N;;
czyhaæ;F;1.346;2.154;1.808;4.077;1.808;7.050;6.377;6.712;4.071;6.678;3.865;3.865;N;;
czyn;U;3.370;1.704;1.444;1.852;1.333;4.286;6.441;6.692;6.259;6.762;3.251;3.251;N;;
czynnoœæ;U;2.923;1.692;1.423;1.654;1.423;4.687;6.231;6.530;6.310;6.520;2.728;2.728;N;;
czynsz;U;1.259;2.852;3.148;3.000;2.667;7.618;6.434;6.092;6.203;6.504;4.355;4.355;N;;
czysty;H;5.423;1.269;1.269;1.154;1.000;1.891;7.452;7.449;7.550;7.668;4.553;1.891;H;;
czyœciæ;U;2.962;2.462;1.615;1.500;2.538;5.261;6.198;6.995;7.093;6.108;3.778;3.778;N;;
czytaæ;U;5.037;1.333;1.370;1.111;1.111;2.528;7.277;7.265;7.479;7.473;4.230;2.528;H;;
czytanka;U;3.423;1.577;1.538;1.346;1.346;4.116;6.684;6.736;6.912;6.914;3.101;3.101;N;;
czytelnia;U;3.407;1.741;1.593;1.407;1.296;4.272;6.393;6.499;6.683;6.760;3.073;3.073;N;;
æwiczyæ;U;4.593;1.963;1.444;1.630;1.852;3.473;6.955;7.403;7.273;6.955;4.618;3.473;H;;
dal;U;2.741;1.704;2.074;2.037;1.519;5.332;6.402;6.096;6.199;6.646;2.929;2.929;N;;
daleki;S;2.462;2.692;3.846;2.423;1.462;6.432;6.458;5.086;6.672;7.514;4.824;4.824;N;;
dama;U;4.423;1.577;1.654;1.692;1.731;3.695;7.127;7.070;7.058;6.933;4.283;3.695;H;;
daremny;U;1.500;4.000;4.077;2.192;1.923;7.685;5.570;5.528;7.329;7.556;5.221;5.221;N;;
data;U;2.269;1.654;1.769;2.500;1.500;6.013;6.622;6.566;5.837;6.742;2.686;2.686;N;;
datek;U;3.148;2.185;2.111;1.593;2.111;4.926;6.285;6.317;6.870;6.337;3.823;3.823;N;;
dawaæ;H;5.630;1.556;1.444;1.778;1.185;2.280;7.539;7.645;7.364;7.843;5.123;2.280;H;;
dawka;U;2.370;2.111;2.037;2.333;2.259;6.041;6.423;6.504;6.199;6.291;3.633;3.633;N;;
d¹b;U;3.296;1.370;1.630;1.593;1.296;4.356;6.665;6.371;6.451;6.742;2.945;2.945;N;;
d¹¿yæ;U;4.038;1.577;1.615;2.500;1.231;4.023;6.930;6.915;6.069;7.233;3.999;3.999;N;;
dbaæ;U;5.077;1.308;1.577;1.500;1.231;2.572;7.285;7.072;7.125;7.361;4.437;2.572;H;;
debata;U;2.741;2.963;1.556;2.037;2.000;5.630;5.604;7.104;6.638;6.683;3.940;3.940;N;;
debiutowaæ;U;4.111;1.519;1.556;3.370;1.333;4.608;7.410;7.358;5.588;7.538;4.546;4.546;N;;
dech;U;2.385;1.462;2.115;2.462;1.346;5.544;6.643;5.995;5.651;6.739;2.931;2.931;N;;
defensywny;F;1.731;2.385;1.846;2.615;1.808;6.413;5.828;6.393;5.494;6.473;3.233;3.233;N;;
deficyt;U;1.222;3.259;3.704;3.741;2.519;8.079;6.621;6.072;6.138;7.222;5.186;5.186;N;;
dekadencki;U;2.038;2.231;2.808;1.885;1.731;6.328;6.274;5.631;6.671;6.828;3.548;3.548;N;;
delikatny;U;4.444;1.111;1.259;1.407;1.222;2.880;7.158;7.032;6.882;7.040;3.735;2.880;H;;
demokracja;U;3.115;2.846;2.077;2.462;2.269;5.477;6.148;6.784;6.507;6.659;4.468;4.468;N;;
demokratyczny;U;3.154;2.654;2.231;2.423;2.038;5.318;6.079;6.443;6.329;6.673;4.281;4.281;N;;
demontowaæ;U;2.000;2.115;2.192;2.115;1.692;6.213;6.374;6.331;6.401;6.797;3.059;3.059;N;;
denerwowaæ;A;1.192;5.038;2.346;2.115;2.269;7.950;3.906;7.115;7.249;7.156;5.220;3.906;A;;
dentysta;F;1.704;2.593;2.556;4.593;2.741;7.691;7.399;7.470;5.177;7.262;5.435;5.177;F;;
deser;H;5.385;1.269;1.154;1.192;1.000;2.026;7.432;7.514;7.495;7.634;4.502;2.026;H;;
deszczowy;S;2.077;2.731;3.692;2.269;2.077;6.884;6.420;5.288;6.842;7.032;4.521;4.521;N;;
diabe³;U;1.885;3.000;2.885;3.885;3.077;7.407;6.828;6.900;5.913;6.744;5.421;5.421;N;;
diagnozowaæ;F;2.654;1.423;2.269;4.000;1.692;6.144;7.378;6.679;4.771;7.145;4.362;4.362;N;;
dialekt;N;3.115;1.462;1.154;1.500;1.154;4.383;6.429;6.679;6.357;6.680;2.481;2.481;N;;
diamentowy;U;4.808;1.154;1.269;1.346;1.000;2.631;7.327;7.230;7.176;7.418;3.990;2.631;H;;
dobroduszny;H;5.269;1.538;1.500;1.308;1.192;2.360;7.194;7.234;7.387;7.487;4.559;2.360;H;;
dobrodziejstwo;H;5.308;1.192;1.308;1.154;1.231;1.991;7.427;7.331;7.444;7.375;4.463;1.991;H;;
doceniaæ;U;4.923;1.346;1.423;1.385;1.423;2.891;7.426;7.355;7.398;7.343;4.294;2.891;H;;
dochód;U;4.630;1.889;1.926;2.259;1.593;3.781;7.209;7.149;6.834;7.460;4.815;3.781;H;;
dodatek;U;4.346;1.346;1.385;1.423;1.385;3.127;6.953;6.939;6.873;6.912;3.804;3.127;H;;
dojrza³y;U;4.346;1.654;1.808;2.000;1.423;3.727;7.005;6.903;6.644;7.205;4.253;3.727;H;;
dok³adnoœæ;U;5.077;1.308;1.346;1.654;1.192;2.583;7.284;7.250;7.020;7.384;4.426;2.583;H;;
dokonywaæ;U;4.111;1.556;1.407;2.037;1.296;3.804;6.866;6.997;6.417;7.079;3.669;3.669;N;;
doktor;U;2.500;2.500;2.192;3.269;2.077;6.089;6.506;6.721;5.633;6.851;4.290;4.290;N;;
dokuczliwy;U;1.308;4.192;3.346;3.077;2.962;8.250;5.930;6.849;7.046;7.017;5.737;5.737;N;;
dokument;U;2.500;1.808;1.462;2.346;1.500;5.442;6.317;6.581;5.688;6.514;2.830;2.830;N;;
dom;U;6.111;1.963;2.222;2.000;1.444;2.659;7.944;7.743;7.935;8.339;6.116;2.659;H;;
dominacja;U;2.269;3.115;2.423;3.115;2.308;6.679;6.160;6.875;6.165;6.970;4.508;4.508;N;;
domostwo;U;4.962;1.385;1.615;1.654;1.346;2.827;7.409;7.215;7.182;7.470;4.491;2.827;H;;
donosiæ;U;1.333;4.741;3.370;3.556;4.593;9.135;6.608;7.929;7.765;6.770;6.823;6.608;A;;
dop³ata;U;2.462;3.885;3.154;3.231;2.500;7.272;6.286;7.144;7.077;7.700;5.747;5.747;N;;
dopomóc;U;4.500;2.000;1.923;2.077;1.500;3.999;6.906;7.062;6.984;7.469;4.766;3.999;H;;
doradzaæ;U;4.115;1.731;1.423;1.923;1.346;3.651;6.602;6.902;6.446;7.000;3.890;3.651;H;;
doradztwo;U;2.308;2.231;1.462;2.115;2.154;5.918;6.217;6.913;6.273;6.219;3.325;3.325;N;;
dostarczaæ;U;3.741;1.667;1.481;2.000;1.556;4.210;6.694;6.856;6.324;6.779;3.546;3.546;N;;
dostawaæ;U;4.963;1.481;1.630;2.148;1.444;3.151;7.390;7.269;6.844;7.425;4.655;3.151;H;;
doœwiadczaæ;U;3.889;2.074;2.481;2.593;1.815;4.780;6.912;6.533;6.426;7.125;4.542;4.542;N;;
doœwiadczony;U;4.385;2.038;1.654;2.077;1.538;3.837;6.766;7.086;6.747;7.228;4.440;3.837;H;;
dotyczyæ;N;2.269;1.538;1.385;1.577;1.192;5.126;6.015;6.175;5.968;6.353;1.894;1.894;N;;
dowodziæ;U;3.815;1.667;1.407;3.000;1.407;4.291;7.061;7.320;5.584;7.304;4.478;4.291;H;;
dowód;U;3.481;1.593;1.444;2.074;1.222;4.202;6.558;6.678;6.031;6.879;3.309;3.309;N;;
doznawaæ;U;4.630;1.667;1.926;2.222;1.630;3.812;7.323;7.131;6.862;7.316;4.593;3.812;H;;
dó³;S;1.269;1.808;3.731;3.077;1.808;7.362;7.037;4.997;5.833;7.103;4.311;4.311;N;;
dramat;U;1.593;3.259;4.333;4.074;2.519;8.291;7.126;6.053;6.382;7.744;5.861;5.861;N;;
drañ;U;1.667;4.593;3.481;3.222;3.333;8.529;6.234;7.417;7.647;7.569;6.277;6.234;A;;
drapie¿ny;F;2.115;1.846;1.423;3.538;1.538;5.932;6.439;6.837;4.368;6.737;3.711;3.711;N;;
dra¿niæ;A;1.667;4.889;2.630;2.593;2.741;7.942;4.915;7.401;7.442;7.340;5.541;4.915;A;;
dreszcz;F;2.423;1.692;1.962;3.385;1.885;5.932;6.746;6.434;4.897;6.532;3.972;3.972;N;;
drêczyciel;U;1.154;5.231;4.385;5.115;4.500;10.173;7.537;8.304;7.649;8.114;8.142;7.537;A;;
drêczyæ;U;1.231;5.038;4.385;4.385;4.077;9.693;6.985;7.563;7.488;7.785;7.620;6.985;A;;
drobiowy;N;2.808;1.192;1.308;1.346;1.346;4.434;6.483;6.333;6.328;6.280;2.404;2.404;N;;
drobnoustrój;U;1.615;2.615;2.346;3.346;3.962;7.785;7.360;7.524;6.616;5.789;5.131;5.131;N;;
drobny;U;3.154;1.423;1.769;1.692;1.346;4.576;6.527;6.179;6.285;6.633;2.954;2.954;N;;
droga;U;3.963;1.778;2.111;2.556;1.481;4.613;7.053;6.701;6.265;7.299;4.172;4.172;N;;
drogi;U;2.577;2.808;2.885;2.269;1.808;6.040;6.237;6.140;6.803;7.186;4.295;4.295;N;;
dro¿d¿owy;U;3.519;1.296;1.296;1.370;1.481;3.847;6.671;6.676;6.610;6.495;2.980;2.980;N;;
dru¿ynowy;U;3.370;2.000;1.852;1.963;1.630;4.753;6.489;6.648;6.489;6.858;3.595;3.595;N;;
drzeæ;A;1.115;4.077;2.269;2.577;2.308;7.857;4.964;7.048;6.754;6.975;4.626;4.626;N;;
drzewo;U;4.808;1.115;2.231;1.577;1.115;3.275;7.542;6.645;7.208;7.540;4.415;3.275;H;;
duch;F;1.923;1.808;2.846;3.846;1.808;6.870;7.074;6.186;4.878;7.038;4.330;4.330;N;;
duchowny;U;2.462;2.462;2.077;2.154;2.346;5.940;6.329;6.727;6.668;6.463;3.950;3.950;N;;
dumny;U;4.731;1.885;1.885;1.692;1.500;3.332;7.125;7.161;7.316;7.393;4.836;3.332;H;;
dupa;U;2.692;2.077;1.308;1.385;2.538;5.230;6.032;6.853;6.801;5.606;3.442;3.442;N;;
durnowaty;U;1.741;3.444;2.296;2.074;2.889;7.046;5.599;6.829;6.982;6.267;4.308;4.308;N;;
dusiæ;U;1.038;4.500;3.462;5.077;3.923;9.626;7.140;8.034;6.532;7.588;7.375;6.532;F;;
dusza;U;4.308;1.577;2.962;3.154;1.500;4.874;7.652;6.522;6.349;7.694;5.137;4.874;H;;
dygotaæ;U;1.423;2.462;2.923;3.423;2.000;7.473;6.547;6.024;5.599;7.090;4.397;4.397;N;;
dyktatura;U;1.556;3.926;3.074;3.667;3.630;8.146;6.387;7.189;6.618;6.672;5.750;5.750;N;;
dylemat;F;1.538;2.500;2.346;3.500;1.462;6.819;5.898;6.131;4.751;6.917;3.805;3.805;N;;
dynia;N;2.963;1.481;1.407;1.630;1.370;4.651;6.417;6.486;6.285;6.523;2.484;2.484;N;;
dyplom;H;5.815;1.556;1.444;2.296;1.148;2.484;7.741;7.818;7.135;8.029;5.444;2.484;H;;
dyplomatyczny;U;3.077;2.346;1.769;2.115;1.692;5.188;6.228;6.715;6.282;6.816;3.801;3.801;N;;
dyskutowaæ;U;3.923;2.423;1.500;2.000;1.385;4.189;6.161;7.061;6.582;7.176;4.022;4.022;N;;
dysponowaæ;U;3.885;1.308;1.192;1.500;1.154;3.491;6.774;6.875;6.576;6.908;3.114;3.114;N;;
dyspozycyjny;U;3.778;1.963;1.296;1.704;1.741;4.169;6.475;7.115;6.756;6.717;3.825;3.825;N;;
dywan;N;2.423;1.154;1.115;1.115;1.231;4.713;6.252;6.288;6.288;6.171;1.640;1.640;N;;
dzbanek;N;2.615;1.346;1.346;1.308;1.269;4.749;6.353;6.336;6.394;6.421;1.992;1.992;N;;
dzia³acz;U;3.074;2.111;1.481;1.667;1.593;4.830;6.218;6.799;6.588;6.690;3.109;3.109;N;;
dzia³aæ;U;4.423;1.538;1.538;2.038;1.346;3.556;7.012;7.088;6.626;7.230;4.203;3.556;H;;
dzia³alnoœæ;U;3.577;1.846;1.731;2.577;1.385;4.491;6.654;6.760;5.930;7.079;3.727;3.727;N;;
dzia³anie;U;5.000;1.593;1.185;2.741;1.333;3.442;7.363;7.687;6.307;7.566;4.783;3.442;H;;
dzia³ka;U;4.308;2.038;2.154;1.846;1.346;3.974;6.794;6.597;6.898;7.333;4.439;3.974;H;;
dziarski;U;3.808;1.731;1.192;1.423;1.231;3.629;6.369;6.913;6.697;6.876;3.441;3.441;N;;
dziecko;U;4.593;2.185;2.000;2.444;1.852;4.271;7.195;7.364;7.004;7.453;5.013;4.271;H;;
dziedziczyæ;U;4.667;1.963;2.185;2.519;1.556;4.067;7.326;7.066;6.791;7.637;5.053;4.067;H;;
dziedzina;N;2.192;1.500;1.615;1.731;1.385;5.588;6.429;6.295;6.199;6.465;1.986;1.986;N;;
dzieliæ;U;3.577;1.808;1.962;1.538;1.154;4.401;6.549;6.406;6.775;7.068;3.431;3.431;N;;
dzielny;U;4.741;1.444;1.630;2.111;1.296;3.174;7.275;7.033;6.686;7.396;4.524;3.174;H;;
dzie³o;U;4.538;1.346;1.192;1.462;1.346;2.972;7.142;7.273;7.060;7.128;3.962;2.972;H;;
dzieñ;U;4.115;1.692;1.692;2.000;1.385;4.118;7.001;6.998;6.731;7.201;3.815;3.815;N;;
dzier¿awiæ;U;2.778;1.963;1.556;1.741;1.630;5.146;6.199;6.529;6.358;6.533;2.999;2.999;N;;
dziewczyna;U;5.148;1.630;1.593;1.704;1.259;2.745;7.322;7.398;7.295;7.689;4.849;2.745;H;;
dziewica;U;3.885;1.615;1.692;2.385;1.231;4.350;6.988;6.930;6.250;7.312;3.965;3.965;N;;
dziêkowaæ;H;5.370;1.259;1.296;1.370;1.296;2.042;7.529;7.508;7.420;7.494;4.709;2.042;H;;
dziura;U;2.222;1.926;1.815;2.370;1.815;5.850;6.434;6.560;5.933;6.565;3.201;3.201;N;;
dziurawy;U;1.423;3.692;3.462;2.500;2.885;7.812;5.849;6.153;7.019;6.685;5.001;5.001;N;;
dziwkarz;U;1.115;4.654;3.808;2.615;4.692;9.335;6.883;7.689;8.551;6.859;6.817;6.817;N;;
dziwny;U;2.115;2.077;2.115;3.192;2.692;6.497;6.680;6.639;5.579;6.120;4.149;4.149;N;;
dzwon;U;2.962;1.423;1.615;1.885;1.308;4.963;6.679;6.388;6.245;6.805;3.047;3.047;N;;
dzwonek;U;3.308;2.308;1.769;2.269;1.731;4.992;6.322;6.897;6.438;6.915;3.916;3.916;N;;
dzwoniæ;U;3.593;2.259;1.815;2.333;1.481;4.842;6.542;6.910;6.465;7.201;3.823;3.823;N;;
dŸgaæ;U;1.296;4.000;3.074;4.444;3.630;8.815;6.877;7.802;6.517;7.345;6.349;6.349;N;;
dŸwiêk;U;5.000;2.346;1.923;1.846;1.385;3.493;6.719;7.104;7.108;7.529;4.819;3.493;H;;
dŸwigaæ;A;1.385;2.423;2.115;1.462;1.615;6.442;5.221;5.602;6.324;6.137;2.710;2.710;N;;
dŸwignia;N;2.407;1.481;1.370;1.852;1.111;5.168;6.307;6.393;5.772;6.639;2.302;2.302;N;;
d¿uma;U;1.000;2.500;3.654;4.577;4.231;8.956;7.819;7.129;6.262;6.592;6.144;6.144;N;;
edukowaæ;U;4.000;1.462;1.538;1.885;1.269;3.864;6.836;6.796;6.489;7.023;3.635;3.635;N;;
efekt;U;4.741;1.222;1.148;1.963;1.037;2.925;7.296;7.343;6.582;7.441;4.142;2.925;H;;
egoistyczny;U;1.346;4.923;3.308;2.462;4.154;8.779;5.818;7.502;8.201;6.753;6.517;5.818;A;;
egzystencjalny;U;3.000;1.778;2.296;2.148;1.333;5.116;6.628;6.108;6.221;7.020;3.509;3.509;N;;
ekran;U;3.038;1.577;1.692;1.500;1.308;4.734;6.572;6.440;6.643;6.818;2.626;2.626;N;;
ekstaza;U;5.407;1.667;1.185;2.111;1.259;2.572;7.530;7.876;7.087;7.809;5.108;2.572;H;;
elastyczny;U;4.037;1.407;1.444;1.519;1.481;3.560;7.037;7.002;6.949;6.970;3.682;3.560;H;;
elementarz;N;2.885;1.462;1.615;1.346;1.269;4.626;6.433;6.269;6.528;6.612;2.487;2.487;N;;
embargo;U;1.462;2.846;2.462;2.923;2.000;7.239;6.183;6.497;6.022;6.930;3.806;3.806;N;;
emerytalny;U;1.923;1.846;2.538;2.769;1.615;6.296;6.552;5.891;5.639;6.774;3.430;3.430;N;;
emocja;U;3.269;2.000;2.269;2.462;1.538;5.409;6.794;6.623;6.455;7.126;3.725;3.725;N;;
energiczny;U;5.000;2.000;1.346;1.654;1.308;3.325;6.981;7.496;7.244;7.534;4.573;3.325;H;;
erotyczny;U;4.577;1.731;2.000;2.269;1.654;3.930;7.307;7.140;6.860;7.331;4.860;3.930;H;;
etyczny;U;4.500;1.500;1.462;1.692;1.154;3.198;6.969;7.065;6.831;7.293;4.017;3.198;H;;
euforyczny;U;4.692;1.346;1.308;1.423;1.154;2.668;7.069;7.099;7.006;7.227;4.063;2.668;H;;
ewoluowaæ;U;4.000;1.593;1.481;1.889;1.556;3.790;6.730;6.836;6.450;6.767;3.640;3.640;N;;
fabryka;U;2.077;2.462;2.462;2.731;2.538;6.773;6.729;6.621;6.462;6.562;4.146;4.146;N;;
fajka;U;3.000;1.692;1.885;1.962;2.308;5.133;6.883;6.743;6.655;6.218;3.760;3.760;N;;
fajt³apa;U;1.885;3.615;3.269;2.385;2.692;7.215;5.906;6.291;7.132;6.868;5.033;5.033;N;;
fakt;U;2.654;2.423;2.115;2.346;1.846;5.760;6.111;6.437;6.179;6.626;3.539;3.539;N;;
fala;U;3.538;1.615;1.577;2.808;1.269;4.707;6.816;6.872;5.693;7.130;3.820;3.820;N;;
fantazja;U;5.038;1.692;2.000;2.231;1.731;3.471;7.714;7.430;7.254;7.691;5.296;3.471;H;;
fartuch;U;2.370;1.630;1.667;1.630;1.815;5.335;6.276;6.232;6.312;6.110;2.519;2.519;N;;
fasada;N;2.385;1.423;1.462;1.577;1.500;5.284;6.409;6.386;6.273;6.362;1.992;1.992;N;;
fasola;N;2.231;1.654;1.462;1.269;2.077;5.375;6.200;6.366;6.549;5.737;2.425;2.425;N;;
faszyzm;U;1.000;5.346;4.231;4.846;5.385;10.455;7.620;8.461;7.962;7.571;8.338;7.571;D;;
fatalny;U;1.074;4.296;4.444;4.222;2.481;8.973;6.627;6.412;6.594;8.073;6.354;6.354;N;;
faza;U;3.815;1.556;1.556;1.704;1.444;3.869;6.761;6.748;6.624;6.846;3.463;3.463;N;;
figura;U;4.111;1.889;1.889;1.778;1.444;4.080;6.765;6.762;6.868;7.129;3.943;3.943;N;;
fili¿anka;U;3.556;1.333;1.370;1.259;1.667;4.018;6.735;6.717;6.810;6.400;3.137;3.137;N;;
film;U;4.846;1.500;1.808;1.654;1.192;3.195;7.278;7.014;7.176;7.543;4.441;3.195;H;;
filtr;N;2.148;1.519;1.259;1.444;1.370;5.282;6.050;6.326;6.153;6.201;1.757;1.757;N;;
fina³;U;4.385;1.231;1.654;2.038;1.000;3.403;7.235;6.812;6.502;7.429;4.059;3.403;H;;
fio³kowy;U;4.111;1.074;1.407;1.148;1.259;3.188;7.157;6.845;7.080;6.929;3.543;3.188;H;;
firmowy;U;3.481;1.444;1.259;1.519;1.407;4.023;6.551;6.701;6.428;6.498;3.050;3.050;N;;
flaga;U;3.846;1.231;1.692;1.269;1.154;3.630;7.023;6.605;6.981;7.058;3.383;3.383;N;;
flaming;N;3.037;1.296;1.296;1.296;1.037;4.263;6.541;6.588;6.582;6.785;2.399;2.399;N;;
flet;U;3.115;1.731;1.846;1.269;1.346;4.662;6.364;6.310;6.841;6.730;3.067;3.067;N;;
flirt;U;4.462;2.038;1.962;2.923;1.846;4.587;7.442;7.499;6.629;7.518;5.056;4.587;H;;
foka;U;3.769;1.231;1.500;1.385;1.500;3.780;6.858;6.591;6.742;6.579;3.309;3.309;N;;
forma;U;2.769;1.808;1.577;1.885;1.423;5.135;6.344;6.589;6.334;6.728;2.777;2.777;N;;
